parent,rf,l1,score,cum
tenure,0.142899517584982,0.15191954517351058,0.14740953137924628,0.14740953137924628
Contract,0.10120769592824175,0.16514594272079203,0.1331768193245169,0.28058635070376314
InternetService,0.05847993367162736,0.20375052757568674,0.13111523062365704,0.4117015813274202
TotalCharges,0.15917231538651147,0.0627114457018135,0.11094188054416249,0.5226434618715827
MonthlyCharges,0.14915211807137044,0.004994486423101302,0.07707330224723587,0.5997167641188186
PaymentMethod,0.06634511727928143,0.056922625765311693,0.06163387152229656,0.6613506356411152
OnlineSecurity,0.027246157688102388,0.05031824685689416,0.038782202272498276,0.7001328379136135
PaperlessBilling,0.03132297930391895,0.04534553155185016,0.03833425542788456,0.7384670933414981
PhoneService,0.00877529317696124,0.06368412009243171,0.036229706634696476,0.7746967999761946
TechSupport,0.026150724426771098,0.044194806622453585,0.03517276552461234,0.8098695655008069
MultipleLines,0.024527902683306388,0.03508540274565713,0.029806652714481758,0.8396762182152887
StreamingMovies,0.022636977234538815,0.02848037562975189,0.02555867643214535,0.8652348946474341
StreamingTV,0.0222514277534269,0.028575325075752587,0.025413376414589746,0.8906482710620238
Dependents,0.023908082331988663,0.02621928635426298,0.025063684343125822,0.9157119554051496
OnlineBackup,0.027184823960977815,0.01962999982340695,0.023407411892192382,0.939119367297342
gender,0.03520496329490708,0.001983957583761414,0.018594460439334246,0.9577138277366762
Partner,0.029046882302432867,0.0014480087902686838,0.015247445546350775,0.9729612732830271
DeviceProtection,0.02499572641703801,0.002917387137353479,0.013956556777195745,0.9869178300602228
SeniorCitizen,0.019491361503615346,0.006672978375939453,0.0130821699397774,1.0000000000000002
